Name,Data type,Initial Value,Sequence Number
X-HART_E+H_FMR6xB_Results,,,
X-HART_E+H_FMR6xB_Results.Actual Value 1,REAL,,42
X-HART_E+H_FMR6xB_Results.Actual Value 2,REAL,,43
X-HART_E+H_FMR6xB_Results.Actual Value 3,REAL,,44
X-HART_E+H_FMR6xB_Results.Actual Value 4,REAL,,45
X-HART_E+H_FMR6xB_Results.Actual Value 5,REAL,,46
X-HART_E+H_FMR6xB_Results.Alarm Selection,BYTE,,13
X-HART_E+H_FMR6xB_Results.Block Error,WORD,,9
X-HART_E+H_FMR6xB_Results.Block Running,WORD,,8
X-HART_E+H_FMR6xB_Results.Builtup Detection,REAL,,32
X-HART_E+H_FMR6xB_Results.Builtup Detection Activated,UINT,,33
X-HART_E+H_FMR6xB_Results.CRC After Test,WORD,,20
X-HART_E+H_FMR6xB_Results.CRC Before Test,WORD,,19
X-HART_E+H_FMR6xB_Results.Current Step,UINT,,7
X-HART_E+H_FMR6xB_Results.Damping Value,REAL,,18
X-HART_E+H_FMR6xB_Results.Device ID,DWORD,,4
X-HART_E+H_FMR6xB_Results.Device Revision,USINT,,1
X-HART_E+H_FMR6xB_Results.Device Status,BYTE,,24
X-HART_E+H_FMR6xB_Results.Device Type,WORD,,0
X-HART_E+H_FMR6xB_Results.Enabled,BOOL,,51
X-HART_E+H_FMR6xB_Results.End Timestamp,UDINT,,49
X-HART_E+H_FMR6xB_Results.Error,BOOL,,6
X-HART_E+H_FMR6xB_Results.Error Code,DWORD,,47
X-HART_E+H_FMR6xB_Results.Hardware Revision,USINT,,3
X-HART_E+H_FMR6xB_Results.Heartbeat Verification Result,UINT,,28
X-HART_E+H_FMR6xB_Results.Heartbeat Verification Timestamp,UDINT,,27
X-HART_E+H_FMR6xB_Results.High Error Current,REAL,,35
X-HART_E+H_FMR6xB_Results.Locking Status,UINT,,26
X-HART_E+H_FMR6xB_Results.Long Tag,X-HART_ASCII_32,,11
X-HART_E+H_FMR6xB_Results.Low Error Current,REAL,,34
X-HART_E+H_FMR6xB_Results.Lower Range Value,REAL,,16
X-HART_E+H_FMR6xB_Results.Max Temperature,REAL,,30
X-HART_E+H_FMR6xB_Results.Min Temperature,REAL,,29
X-HART_E+H_FMR6xB_Results.Parameters After Test,X-HART_E+H_FMR6xB_Parameters,,22
X-HART_E+H_FMR6xB_Results.Parameters Before Test,X-HART_E+H_FMR6xB_Parameters,,21
X-HART_E+H_FMR6xB_Results.Precision,REAL,,41
X-HART_E+H_FMR6xB_Results.RAW Value,DINT,,50
X-HART_E+H_FMR6xB_Results.Response Code,BYTE,,23
X-HART_E+H_FMR6xB_Results.Running,BOOL,,5
X-HART_E+H_FMR6xB_Results.Serial Number,X-HART_ASCII_32,,12
X-HART_E+H_FMR6xB_Results.Software Revision,USINT,,2
X-HART_E+H_FMR6xB_Results.Start Timestamp,UDINT,,48
X-HART_E+H_FMR6xB_Results.Tag,X-HART_ASCII_32,,10
X-HART_E+H_FMR6xB_Results.Temperature Unit,UINT,,31
X-HART_E+H_FMR6xB_Results.Test Point 1,REAL,,36
X-HART_E+H_FMR6xB_Results.Test Point 2,REAL,,37
X-HART_E+H_FMR6xB_Results.Test Point 3,REAL,,38
X-HART_E+H_FMR6xB_Results.Test Point 4,REAL,,39
X-HART_E+H_FMR6xB_Results.Test Point 5,REAL,,40
X-HART_E+H_FMR6xB_Results.Transfer Function,BYTE,,14
X-HART_E+H_FMR6xB_Results.Transmitter Units Code,BYTE,,17
X-HART_E+H_FMR6xB_Results.Upper Range Value,REAL,,15
X-HART_E+H_FMR6xB_Results.User Level,WORD,,25
