Name,Data type,Initial Value,Sequence Number
X-HART_E+H_FTL5xB/6x_Results,,,
X-HART_E+H_FTL5xB/6x_Results.Actual Value 1,REAL,,45
X-HART_E+H_FTL5xB/6x_Results.Actual Value 2,REAL,,46
X-HART_E+H_FTL5xB/6x_Results.Actual Value 3,REAL,,47
X-HART_E+H_FTL5xB/6x_Results.Actual Value 4,REAL,,48
X-HART_E+H_FTL5xB/6x_Results.Actual Value 5,REAL,,49
X-HART_E+H_FTL5xB/6x_Results.Alarm Selection,BYTE,,14
X-HART_E+H_FTL5xB/6x_Results.Block Error,WORD,,9
X-HART_E+H_FTL5xB/6x_Results.Block Running,WORD,,8
X-HART_E+H_FTL5xB/6x_Results.CRC After Test,WORD,,21
X-HART_E+H_FTL5xB/6x_Results.CRC Before Test,WORD,,20
X-HART_E+H_FTL5xB/6x_Results.Current Sensor Frequency,REAL,,30
X-HART_E+H_FTL5xB/6x_Results.Current Step,UINT,,7
X-HART_E+H_FTL5xB/6x_Results.Damping Value,REAL,,19
X-HART_E+H_FTL5xB/6x_Results.Demand Mode,REAL,,38
X-HART_E+H_FTL5xB/6x_Results.Device ID,DWORD,,4
X-HART_E+H_FTL5xB/6x_Results.Device Revision,USINT,,1
X-HART_E+H_FTL5xB/6x_Results.Device Status,BYTE,,25
X-HART_E+H_FTL5xB/6x_Results.Device Type,WORD,,0
X-HART_E+H_FTL5xB/6x_Results.Enabled,BOOL,,54
X-HART_E+H_FTL5xB/6x_Results.End Timestamp,UDINT,,52
X-HART_E+H_FTL5xB/6x_Results.Error,BOOL,,6
X-HART_E+H_FTL5xB/6x_Results.Error Code,DWORD,,50
X-HART_E+H_FTL5xB/6x_Results.Hardware Revision,USINT,,3
X-HART_E+H_FTL5xB/6x_Results.Heartbeat Verification Result,UINT,,29
X-HART_E+H_FTL5xB/6x_Results.Heartbeat Verification Timestamp,UDINT,,28
X-HART_E+H_FTL5xB/6x_Results.High Alert Value,REAL,,33
X-HART_E+H_FTL5xB/6x_Results.High Alert Value Enabled,UINT,,35
X-HART_E+H_FTL5xB/6x_Results.High Error Current,REAL,,37
X-HART_E+H_FTL5xB/6x_Results.Locking Status,UINT,,27
X-HART_E+H_FTL5xB/6x_Results.Long Tag,X-HART_ASCII_32,,11
X-HART_E+H_FTL5xB/6x_Results.Low Alert Value,REAL,,32
X-HART_E+H_FTL5xB/6x_Results.Low Alert Value Enabled,UINT,,34
X-HART_E+H_FTL5xB/6x_Results.Low Error Current,REAL,,36
X-HART_E+H_FTL5xB/6x_Results.Lower Range Value,REAL,,17
X-HART_E+H_FTL5xB/6x_Results.Manufactory Sensor Frequency,REAL,,31
X-HART_E+H_FTL5xB/6x_Results.Parameters After Test,X-HART_E+H_FTL5xB/6x_Parameters,,23
X-HART_E+H_FTL5xB/6x_Results.Parameters Before Test,X-HART_E+H_FTL5xB/6x_Parameters,,22
X-HART_E+H_FTL5xB/6x_Results.Precision,REAL,,44
X-HART_E+H_FTL5xB/6x_Results.RAW Value,DINT,,53
X-HART_E+H_FTL5xB/6x_Results.Response Code,BYTE,,24
X-HART_E+H_FTL5xB/6x_Results.Running,BOOL,,5
X-HART_E+H_FTL5xB/6x_Results.Safety Function,UINT,,13
X-HART_E+H_FTL5xB/6x_Results.Serial Number,X-HART_ASCII_32,,12
X-HART_E+H_FTL5xB/6x_Results.Software Revision,USINT,,2
X-HART_E+H_FTL5xB/6x_Results.Start Timestamp,UDINT,,51
X-HART_E+H_FTL5xB/6x_Results.Tag,X-HART_ASCII_32,,10
X-HART_E+H_FTL5xB/6x_Results.Test Point 1,REAL,,39
X-HART_E+H_FTL5xB/6x_Results.Test Point 2,REAL,,40
X-HART_E+H_FTL5xB/6x_Results.Test Point 3,REAL,,41
X-HART_E+H_FTL5xB/6x_Results.Test Point 4,REAL,,42
X-HART_E+H_FTL5xB/6x_Results.Test Point 5,REAL,,43
X-HART_E+H_FTL5xB/6x_Results.Transfer Function,BYTE,,15
X-HART_E+H_FTL5xB/6x_Results.Transmitter Units Code,BYTE,,18
X-HART_E+H_FTL5xB/6x_Results.Upper Range Value,REAL,,16
X-HART_E+H_FTL5xB/6x_Results.User Level,WORD,,26
