Name,Data type,Initial Value,Sequence Number
X-HART_E+H_Promass300/500_Results,,,
X-HART_E+H_Promass300/500_Results.Upper Range Value,REAL,,15
X-HART_E+H_Promass300/500_Results.Transmitter Units Code,BYTE,,17
X-HART_E+H_Promass300/500_Results.Transfer Function,BYTE,,14
X-HART_E+H_Promass300/500_Results.Test Point 5,REAL,,33
X-HART_E+H_Promass300/500_Results.Test Point 4,REAL,,32
X-HART_E+H_Promass300/500_Results.Test Point 3,REAL,,31
X-HART_E+H_Promass300/500_Results.Test Point 2,REAL,,30
X-HART_E+H_Promass300/500_Results.Test Point 1,REAL,,29
X-HART_E+H_Promass300/500_Results.Tag,X-HART_ASCII_32,,10
X-HART_E+H_Promass300/500_Results.Start Timestamp,UDINT,,41
X-HART_E+H_Promass300/500_Results.Software Revision,USINT,,2
X-HART_E+H_Promass300/500_Results.Serial Number,X-HART_ASCII_32,,12
X-HART_E+H_Promass300/500_Results.Running,BOOL,,5
X-HART_E+H_Promass300/500_Results.Response Code,BYTE,,21
X-HART_E+H_Promass300/500_Results.RAW Value,DINT,,43
X-HART_E+H_Promass300/500_Results.Precision,REAL,,34
X-HART_E+H_Promass300/500_Results.Parameters Before Test,X-HART_E+H_Promass300/500_Parameters,,19
X-HART_E+H_Promass300/500_Results.Parameters After Test,X-HART_E+H_Promass300/500_Parameters,,20
X-HART_E+H_Promass300/500_Results.Lower Range Value,REAL,,16
X-HART_E+H_Promass300/500_Results.Long Tag,X-HART_ASCII_32,,11
X-HART_E+H_Promass300/500_Results.Locking Status,UINT,,23
X-HART_E+H_Promass300/500_Results.Heartbeat Verification Timestamp,UDINT,,24
X-HART_E+H_Promass300/500_Results.Heartbeat Verification Status,UINT,,25
X-HART_E+H_Promass300/500_Results.Heartbeat Verification Result,UINT,,26
X-HART_E+H_Promass300/500_Results.HBSI Value,REAL,,28
X-HART_E+H_Promass300/500_Results.HBSI Result,UINT,,27
X-HART_E+H_Promass300/500_Results.Hardware Revision,USINT,,3
X-HART_E+H_Promass300/500_Results.Extended Device Status,BYTE,,44
X-HART_E+H_Promass300/500_Results.Error Code,DWORD,,40
X-HART_E+H_Promass300/500_Results.Error,BOOL,,6
X-HART_E+H_Promass300/500_Results.End Timestamp,UDINT,,42
X-HART_E+H_Promass300/500_Results.Enabled,BOOL,,45
X-HART_E+H_Promass300/500_Results.Device Type,WORD,,0
X-HART_E+H_Promass300/500_Results.Device Status,BYTE,,22
X-HART_E+H_Promass300/500_Results.Device Revision,USINT,,1
X-HART_E+H_Promass300/500_Results.Device ID,DWORD,,4
X-HART_E+H_Promass300/500_Results.Damping Value,REAL,,18
X-HART_E+H_Promass300/500_Results.Current Step,UINT,,7
X-HART_E+H_Promass300/500_Results.Block Running,WORD,,8
X-HART_E+H_Promass300/500_Results.Block Error,WORD,,9
X-HART_E+H_Promass300/500_Results.Alarm Selection,BYTE,,13
X-HART_E+H_Promass300/500_Results.Actual Value 5,REAL,,39
X-HART_E+H_Promass300/500_Results.Actual Value 4,REAL,,38
X-HART_E+H_Promass300/500_Results.Actual Value 3,REAL,,37
X-HART_E+H_Promass300/500_Results.Actual Value 2,REAL,,36
X-HART_E+H_Promass300/500_Results.Actual Value 1,REAL,,35
